state_fid,beta,,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,
0.25,0,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta
0.250089823,0.01,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0,,0.25,0
0.249601587,0.02,,0.249984703,0.01,,0.24844498,0.01,,0.25108257,0.01,,0.249526442,0.01,,0.250679532,0.01,,0.250004439,0.01,,0.248548075,0.01,,0.24984683,0.01,,0.252863349,0.01,,0.250886434,0.01,,0.248714899,0.01,,0.250216451,0.01,,0.250834579,0.01,,0.24896622,0.01,,0.249673456,0.01,,0.252757141,0.01,,0.250381661,0.01,,0.250815461,0.01,,0.247676881,0.01,,0.249892356,0.01
0.250561253,0.03,,0.253886796,0.02,,0.253168456,0.02,,0.250302611,0.02,,0.245786764,0.02,,0.244823837,0.02,,0.248716144,0.02,,0.253058701,0.02,,0.251130095,0.02,,0.247370105,0.02,,0.253850268,0.02,,0.25391643,0.02,,0.244652513,0.02,,0.247404964,0.02,,0.248413466,0.02,,0.25144735,0.02,,0.249203221,0.02,,0.245862853,0.02,,0.248051156,0.02,,0.251097068,0.02,,0.24988894,0.02
0.249342637,0.04,,0.245565435,0.03,,0.25302136,0.03,,0.257949633,0.03,,0.257964913,0.03,,0.248562785,0.03,,0.253395869,0.03,,0.244887061,0.03,,0.244773693,0.03,,0.24097461,0.03,,0.256133179,0.03,,0.250057613,0.03,,0.258312386,0.03,,0.249591231,0.03,,0.245103455,0.03,,0.248098079,0.03,,0.255271204,0.03,,0.245907348,0.03,,0.249587941,0.03,,0.249400312,0.03,,0.256666951,0.03
0.251617213,0.05,,0.259560606,0.04,,0.245924795,0.04,,0.241578301,0.04,,0.246625683,0.04,,0.245203202,0.04,,0.253194569,0.04,,0.259485475,0.04,,0.246906811,0.04,,0.254418099,0.04,,0.241908762,0.04,,0.239431964,0.04,,0.259053252,0.04,,0.249107345,0.04,,0.246488852,0.04,,0.245177769,0.04,,0.251110096,0.04,,0.249669701,0.04,,0.25570521,0.04,,0.254504385,0.04,,0.241797869,0.04
0.251262025,0.06,,0.239587736,0.05,,0.258596896,0.05,,0.249838399,0.05,,0.255038378,0.05,,0.234943824,0.05,,0.255597776,0.05,,0.25391638,0.05,,0.235485174,0.05,,0.256297145,0.05,,0.255134469,0.05,,0.25651587,0.05,,0.236896623,0.05,,0.261476026,0.05,,0.260626891,0.05,,0.253020991,0.05,,0.258970672,0.05,,0.259109989,0.05,,0.246297547,0.05,,0.252842268,0.05,,0.252151201,0.05
0.250500065,0.07,,0.263012019,0.06,,0.257756901,0.06,,0.263446212,0.06,,0.24057184,0.06,,0.257297391,0.06,,0.256198415,0.06,,0.241778494,0.06,,0.25930625,0.06,,0.245345527,0.06,,0.265598696,0.06,,0.247658916,0.06,,0.242783489,0.06,,0.257708483,0.06,,0.265442052,0.06,,0.239731366,0.06,,0.246562709,0.06,,0.254631082,0.06,,0.234242488,0.06,,0.248235922,0.06,,0.237932241,0.06
0.249032249,0.08,,0.239347413,0.07,,0.265465326,0.07,,0.241404038,0.07,,0.252312074,0.07,,0.266053865,0.07,,0.238215295,0.07,,0.254314812,0.07,,0.255745631,0.07,,0.249026979,0.07,,0.250655716,0.07,,0.259112079,0.07,,0.241324963,0.07,,0.266259942,0.07,,0.262074441,0.07,,0.242030217,0.07,,0.239623056,0.07,,0.232548645,0.07,,0.265839933,0.07,,0.240449875,0.07,,0.24819699,0.07
0.245862291,0.09,,0.243431595,0.08,,0.24811814,0.08,,0.23115706,0.08,,0.226298039,0.08,,0.261475605,0.08,,0.253688233,0.08,,0.265826241,0.08,,0.245319451,0.08,,0.257098036,0.08,,0.254230134,0.08,,0.251650601,0.08,,0.261623568,0.08,,0.243706892,0.08,,0.240859878,0.08,,0.244617236,0.08,,0.25444166,0.08,,0.269807593,0.08,,0.244740435,0.08,,0.244024965,0.08,,0.238529619,0.08
0.247265687,0.1,,0.227862656,0.09,,0.234570931,0.09,,0.263027907,0.09,,0.242747341,0.09,,0.232114644,0.09,,0.232451241,0.09,,0.247700313,0.09,,0.261644988,0.09,,0.254488151,0.09,,0.230634484,0.09,,0.223898569,0.09,,0.270392197,0.09,,0.24536976,0.09,,0.271728758,0.09,,0.251541762,0.09,,0.227211072,0.09,,0.26683811,0.09,,0.266632485,0.09,,0.244803112,0.09,,0.221587346,0.09
0.239769254,0.11,,0.256258798,0.1,,0.249508197,0.1,,0.24364618,0.1,,0.240025196,0.1,,0.229647296,0.1,,0.261182406,0.1,,0.259345712,0.1,,0.265919031,0.1,,0.242619175,0.1,,0.237520807,0.1,,0.245659816,0.1,,0.263744719,0.1,,0.253746055,0.1,,0.237368193,0.1,,0.263994588,0.1,,0.247262644,0.1,,0.252063606,0.1,,0.258593991,0.1,,0.21995077,0.1,,0.21725655,0.1
0.240568185,0.12,,0.240574579,0.11,,0.270702499,0.11,,0.245333318,0.11,,0.259650918,0.11,,0.216415188,0.11,,0.255892439,0.11,,0.244191833,0.11,,0.257718005,0.11,,0.229922591,0.11,,0.246382052,0.11,,0.242438696,0.11,,0.217576558,0.11,,0.224036159,0.11,,0.225467072,0.11,,0.248450238,0.11,,0.241018175,0.11,,0.217140272,0.11,,0.252942645,0.11,,0.214806646,0.11,,0.24472519,0.11
0.232254963,0.13,,0.244437421,0.12,,0.242440304,0.12,,0.212500502,0.12,,0.241333062,0.12,,0.223401755,0.12,,0.248829576,0.12,,0.222579586,0.12,,0.268206905,0.12,,0.260684947,0.12,,0.222925908,0.12,,0.254773724,0.12,,0.253611291,0.12,,0.261173128,0.12,,0.2277611,0.12,,0.214400076,0.12,,0.27398736,0.12,,0.258113767,0.12,,0.228124304,0.12,,0.213090163,0.12,,0.238988821,0.12
0.236006787,0.14,,0.228730252,0.13,,0.209100084,0.13,,0.208046782,0.13,,0.221915157,0.13,,0.207591478,0.13,,0.270127769,0.13,,0.252031206,0.13,,0.223844347,0.13,,0.279650372,0.13,,0.234455904,0.13,,0.218419991,0.13,,0.216039829,0.13,,0.258001658,0.13,,0.266745593,0.13,,0.206341347,0.13,,0.212991578,0.13,,0.264756092,0.13,,0.206865296,0.13,,0.240961165,0.13,,0.21848335,0.13
0.247233697,0.15,,0.254891387,0.14,,0.276859735,0.14,,0.260213123,0.14,,0.215794803,0.14,,0.261910366,0.14,,0.218279098,0.14,,0.278447824,0.14,,0.203617859,0.14,,0.230991494,0.14,,0.206897127,0.14,,0.209566385,0.14,,0.261196228,0.14,,0.231083594,0.14,,0.213004407,0.14,,0.255133788,0.14,,0.254912602,0.14,,0.228773005,0.14,,0.223096713,0.14,,0.229706669,0.14,,0.205759533,0.14
0.237079274,0.16,,0.269243832,0.15,,0.275778331,0.15,,0.211082553,0.15,,0.253105299,0.15,,0.241887206,0.15,,0.230703325,0.15,,0.271942645,0.15,,0.235695869,0.15,,0.26235489,0.15,,0.262508397,0.15,,0.246280109,0.15,,0.237757457,0.15,,0.20370484,0.15,,0.25096836,0.15,,0.235336096,0.15,,0.253682434,0.15,,0.239244916,0.15,,0.279776125,0.15,,0.217017991,0.15,,0.266603258,0.15
0.242907351,0.17,,0.245187832,0.16,,0.228804016,0.16,,0.200745155,0.16,,0.285289389,0.16,,0.209729327,0.16,,0.212631648,0.16,,0.207170179,0.16,,0.248109481,0.16,,0.208468458,0.16,,0.239887906,0.16,,0.259369845,0.16,,0.209137105,0.16,,0.210701309,0.16,,0.222204159,0.16,,0.210284173,0.16,,0.266772756,0.16,,0.283996851,0.16,,0.235991038,0.16,,0.283804247,0.16,,0.273300598,0.16
0.23582543,0.18,,0.250824915,0.17,,0.19431808,0.17,,0.232706483,0.17,,0.284735265,0.17,,0.253648983,0.17,,0.220580311,0.17,,0.261423463,0.17,,0.273882716,0.17,,0.224868283,0.17,,0.270646759,0.17,,0.279539033,0.17,,0.23680804,0.17,,0.246557732,0.17,,0.271052967,0.17,,0.217434838,0.17,,0.250704008,0.17,,0.214883666,0.17,,0.245717123,0.17,,0.208289027,0.17,,0.219525318,0.17
0.229177566,0.19,,0.240227805,0.18,,0.214200442,0.18,,0.247301591,0.18,,0.283654239,0.18,,0.279127133,0.18,,0.229985867,0.18,,0.24143057,0.18,,0.25354747,0.18,,0.19734418,0.18,,0.198377668,0.18,,0.25644081,0.18,,0.208977411,0.18,,0.195473039,0.18,,0.231564468,0.18,,0.232660261,0.18,,0.275560604,0.18,,0.207446447,0.18,,0.267704998,0.18,,0.253603832,0.18,,0.201879772,0.18
0.22577778,0.2,,0.187127945,0.19,,0.241682425,0.19,,0.281310073,0.19,,0.230671456,0.19,,0.182957257,0.19,,0.216463746,0.19,,0.2508569,0.19,,0.230795282,0.19,,0.273931893,0.19,,0.231939935,0.19,,0.28250477,0.19,,0.185833662,0.19,,0.203799881,0.19,,0.222125252,0.19,,0.185631832,0.19,,0.249725307,0.19,,0.231825202,0.19,,0.18659431,0.19,,0.287857833,0.19,,0.219916366,0.19
0.232421115,0.21,,0.184783101,0.2,,0.186785096,0.2,,0.202409127,0.2,,0.289277751,0.2,,0.26062495,0.2,,0.250059713,0.2,,0.191404356,0.2,,0.202299387,0.2,,0.230945424,0.2,,0.226194153,0.2,,0.184395707,0.2,,0.181759431,0.2,,0.264334615,0.2,,0.194508543,0.2,,0.266497164,0.2,,0.257187278,0.2,,0.21905934,0.2,,0.255040838,0.2,,0.180747451,0.2,,0.287242181,0.2
0.223562252,0.22,,0.186507537,0.21,,0.275529218,0.21,,0.242445378,0.21,,0.240603083,0.21,,0.238287307,0.21,,0.217538453,0.21,,0.264633518,0.21,,0.24180542,0.21,,0.21852813,0.21,,0.262978998,0.21,,0.240608024,0.21,,0.21773536,0.21,,0.259508614,0.21,,0.206175204,0.21,,0.25886063,0.21,,0.266478169,0.21,,0.199859446,0.21,,0.191197529,0.21,,0.205365002,0.21,,0.213777277,0.21
0.225028369,0.23,,0.219494458,0.22,,0.256073481,0.22,,0.277194418,0.22,,0.224113013,0.22,,0.190022121,0.22,,0.171505841,0.22,,0.273172229,0.22,,0.251269004,0.22,,0.202988568,0.22,,0.17929317,0.22,,0.203337243,0.22,,0.192899089,0.22,,0.209497226,0.22,,0.225984076,0.22,,0.186589107,0.22,,0.252057289,0.22,,0.288139692,0.22,,0.211034383,0.22,,0.249143967,0.22,,0.207436671,0.22
0.226602389,0.24,,0.212937313,0.23,,0.261037124,0.23,,0.246712792,0.23,,0.167358419,0.23,,0.176779671,0.23,,0.269744635,0.23,,0.235847145,0.23,,0.170553981,0.23,,0.268017685,0.23,,0.197242543,0.23,,0.203580887,0.23,,0.284895731,0.23,,0.21230003,0.23,,0.230166376,0.23,,0.216446421,0.23,,0.283644709,0.23,,0.188504444,0.23,,0.271485343,0.23,,0.178971834,0.23,,0.224340299,0.23
0.214119901,0.25,,0.165297368,0.24,,0.283133597,0.24,,0.283932904,0.24,,0.261000244,0.24,,0.212120362,0.24,,0.234019861,0.24,,0.233539377,0.24,,0.242827004,0.24,,0.231468999,0.24,,0.26371803,0.24,,0.240379281,0.24,,0.173470689,0.24,,0.212056339,0.24,,0.181665236,0.24,,0.208723863,0.24,,0.248219289,0.24,,0.240338997,0.24,,0.209231964,0.24,,0.194413951,0.24,,0.21249042,0.24
0.221747458,0.26,,0.185689326,0.25,,0.177159269,0.25,,0.287986138,0.25,,0.170890148,0.25,,0.18465029,0.25,,0.252948178,0.25,,0.165959544,0.25,,0.228032652,0.25,,0.292393822,0.25,,0.177948146,0.25,,0.212917332,0.25,,0.238776398,0.25,,0.265521713,0.25,,0.16052863,0.25,,0.190203022,0.25,,0.232758009,0.25,,0.218131202,0.25,,0.185177937,0.25,,0.200045472,0.25,,0.254680802,0.25
0.232163286,0.27,,0.202051088,0.26,,0.190863724,0.26,,0.269975301,0.26,,0.20712034,0.26,,0.170440382,0.26,,0.247181234,0.26,,0.253404967,0.26,,0.220146833,0.26,,0.285543513,0.26,,0.207371522,0.26,,0.219195707,0.26,,0.236914019,0.26,,0.203050605,0.26,,0.158410895,0.26,,0.274104619,0.26,,0.214765181,0.26,,0.225212003,0.26,,0.250438501,0.26,,0.218723631,0.26,,0.180035097,0.26
0.194584518,0.28,,0.273337715,0.27,,0.178397239,0.27,,0.278783691,0.27,,0.275953642,0.27,,0.276006773,0.27,,0.290773175,0.27,,0.184273468,0.27,,0.218070993,0.27,,0.264223353,0.27,,0.168109352,0.27,,0.224185966,0.27,,0.214248529,0.27,,0.269891843,0.27,,0.175027628,0.27,,0.161211612,0.27,,0.26786507,0.27,,0.217502485,0.27,,0.288455858,0.27,,0.251206208,0.27,,0.165741119,0.27
0.209328526,0.29,,0.219883753,0.28,,0.191187242,0.28,,0.148450943,0.28,,0.194125273,0.28,,0.154944392,0.28,,0.194414273,0.28,,0.221419466,0.28,,0.205315476,0.28,,0.189215862,0.28,,0.151810566,0.28,,0.186965314,0.28,,0.229078906,0.28,,0.262301913,0.28,,0.178397911,0.28,,0.275743875,0.28,,0.175594246,0.28,,0.169229393,0.28,,0.170276689,0.28,,0.168211583,0.28,,0.205123283,0.28
0.221897746,0.3,,0.288376618,0.29,,0.175862394,0.29,,0.219069496,0.29,,0.160058574,0.29,,0.221274738,0.29,,0.206122038,0.29,,0.184635279,0.29,,0.232924436,0.29,,0.254974002,0.29,,0.190499001,0.29,,0.159555141,0.29,,0.146564294,0.29,,0.257473019,0.29,,0.146705446,0.29,,0.19803873,0.29,,0.143547818,0.29,,0.247974413,0.29,,0.191453273,0.29,,0.281931269,0.29,,0.279530532,0.29
0.212139353,0.31,,0.282110015,0.3,,0.259445997,0.3,,0.266317882,0.3,,0.266050432,0.3,,0.227304935,0.3,,0.258554668,0.3,,0.171765756,0.3,,0.231411827,0.3,,0.236137586,0.3,,0.201614323,0.3,,0.208507182,0.3,,0.284449917,0.3,,0.176576229,0.3,,0.214260953,0.3,,0.16119121,0.3,,0.177660435,0.3,,0.248114273,0.3,,0.179199772,0.3,,0.162428036,0.3,,0.224853499,0.3
0.204570844,0.32,,0.233868001,0.31,,0.257043326,0.31,,0.255655539,0.31,,0.192043838,0.31,,0.177395412,0.31,,0.24947526,0.31,,0.222089364,0.31,,0.192888509,0.31,,0.141212433,0.31,,0.262346159,0.31,,0.241357275,0.31,,0.23910046,0.31,,0.169148568,0.31,,0.249349854,0.31,,0.206475802,0.31,,0.177584684,0.31,,0.254297438,0.31,,0.222078426,0.31,,0.152885803,0.31,,0.146490899,0.31
